Rad (kpc),Vobs (km/s),errV (km/s)
0.021289824044876414,1.5007839986172986,2.4306910223386984
0.0451906894497069,1.978196832251269,1.7305856146492975
0.06911023232659542,2.794517129150116,1.3443412168529247
0.09466302480344173,3.7091993077190515,1.1110421031752145
0.12065365185739257,4.645311658565163,0.9916374288508274
0.14640050041493088,5.031191526394581,0.9047887160017518
0.17152993838728017,5.301857997064392,0.8589432523107124
0.1965556645618972,5.103273413177316,0.7845922343542069
0.221836290230024,4.923897328523043,0.7458487828418837
0.24731237105079729,5.101370652796251,0.693315370159895
0.27303009884266,5.450328128951053,0.660826959644682
0.2983540500029621,5.7123686405437315,0.6445619304838082
0.3236604930685266,6.2947511649357155,0.6092400763044925
