Rad (kpc),Vobs (km/s),errV (km/s)
0.08555316311705075,2.414747523807461,2.7224031800933606
0.17971330915527212,4.64417730597625,1.827842207591339
0.2743660693826928,5.811471123524318,1.4610864371291512
0.368834745562474,6.531962412377108,1.2732813232706672
0.46398213672070315,7.11460262430545,1.1160324164442192
0.5600094946377709,7.543562231171165,1.0197133255207367
0.6550396450715502,7.719511439340458,0.9509733877265425
0.7494730012193364,8.254854994030906,0.8852245412605342
0.8450523180683698,9.007036013115545,0.8354310336130311
0.9400042421364563,10.317277229358673,0.8029025740181616
1.035399858169535,11.38843260147607,0.7447494338054543
1.13179546827037,11.87421128840269,0.7179736396822946
1.2271795098174838,12.284383799045287,0.694909618492284
1.3225472370944953,13.09935133958813,0.6653458143892685
1.4185012800055041,13.924768262137077,0.6413327616696882
1.5142589147312835,14.147065976900482,0.6246343633876562
1.6096301044092118,13.247567202610362,0.6053735003773343
1.70468989959863,13.701121969827769,0.590227421539114
1.7989237340276933,15.469713680019174,0.5782542351897606
1.8944028450527701,16.275551499683093,0.5498466838189571
1.9890344167860008,15.930230347778819,0.5822575904855599
2.085685983372268,16.30127428665087,0.6595718207820358
2.181447250924797,16.633368603409764,0.6528372720227741
2.2768155296252424,17.434893212621454,0.6678193069075983
2.3723820418410297,17.484047177453103,0.6959515220306521
2.4685165342301696,18.00732671110106,0.719541011338957
2.563731316262336,16.853725476169235,0.7717236319694523
