Rad (kpc),Vobs (km/s),errV (km/s)
0.09331442708586503,-5.816084400444907,6.189252209114395
0.21216765251403114,3.8530255031976997,3.6285452299900514
0.34041573193208896,12.58636479868163,2.8855623801519465
0.47002134801526246,15.456478987102203,2.43519050995426
0.5997486347417761,19.118563774420938,2.144715917225246
0.7302686121528175,18.51272582432197,1.9539976991471169
0.8618446315541146,22.432552559938856,1.7874725406263143
0.9933147686619708,21.783577268273195,1.65861146429313
1.1250889836283888,19.103176896027627,1.559076547985896
1.256121818006368,20.14079136662733,1.4881698235525735
1.3870501172494238,18.118605277489355,1.4060028812877072
1.5187033041417912,18.711632242899043,1.342763926492923
1.64985892954432,16.8792640598921,1.2975970080080614
1.7802301510952139,16.248908015032097,1.24954255344975
1.9107195706108344,18.245744307305984,1.2062636637727793
2.0415115550388476,21.25329878274485,1.1664134727088413
2.1727978180908636,22.72071481635379,1.127301914897558
2.304490860797709,23.26883555218041,1.0907836406325555
2.4357232951797836,24.95956884798286,1.064162740126013
2.567036819940266,26.94542923832545,1.034909355100396
2.698080337999373,28.472945905483442,1.0102231431478788
2.829126170019171,30.641423329521075,0.9886004227874913
2.959767046259202,32.31668798482322,0.965247391811805
3.0905761758419104,33.90829846586602,0.9468398458235059
3.2222997403868723,35.492648279971625,0.9184410189634138
3.3535836742811616,36.71029637185195,0.9112136004475662
3.4846475530374588,39.74016062792784,0.8861164753198526
3.6159154836335796,41.8319291711408,0.8739111518221991
3.7469986051962523,43.308316215089555,0.8553882939114296
3.878170886949702,45.378934531727474,0.8441271848221603
4.009472273094974,46.47892462901208,0.8267349352821461
4.1403684223275095,47.95728232289821,0.8178098518362423
4.271492872420077,50.13343777131163,0.803004230234204
4.4026539587743425,50.50618033915989,0.7930916839537041
4.533633432561441,51.05980570335606,0.7801332591129282
4.664642969010232,50.999419582804435,0.7695079008186952
4.795722632573963,51.31633468802139,0.7565892171839173
4.927181586230615,51.86325277192264,0.7474013213295874
5.058284549329876,53.40007034055096,0.7378539612336504
5.189564211945835,53.547626863998715,0.7290273559085864
5.320814826773741,51.963878797402636,0.7201536343005955
5.452223885223453,52.29211390960948,0.7114642869306549
5.583269436767464,54.48052307179138,0.7083638202899597
5.7139855513082685,53.9725805626499,0.7045069606767869
5.844933291481141,54.276214931775826,0.7029332399423617
5.975937957057926,53.43693359276818,0.7114833166666793
6.107126156992852,52.27679581087002,0.7359415838442241
6.237957634099074,53.206441877107636,0.7539857049843263
6.369820180309734,54.164710476778986,0.7969647418972142
6.501138707356929,54.32156209906322,0.7979700421865127
6.6321519558370055,55.1493938916832,0.7909510792002699
6.763231369751901,53.24439026927742,0.7566161969033072
6.893848795267835,51.95580177573503,0.7452574725710636
7.0248607194947255,52.58244066227855,0.7498580865594617
7.15559967494897,54.03330000891487,0.7780228605065825
7.2872969996310335,53.62688830023839,0.8478544184015671
7.418993690015814,52.592415333211214,0.9283829705892926
7.5497961424503535,53.78763985622973,0.9924646699675373
7.680727205506204,54.768343465970624,1.0464346076125879
